Date,Conference,Session,Country,Groupe of Country,Signals,Keywords,"Notes ",ID
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,"AFG, Tchad",,"Application of the resolution 54/15 highlights the impacts of UCMs , Concern the legislation recently adapted by countries to legitimize the adoption of frozen assets violates international in particular standards against the immunity of states and equality between states, states bear the primarily responsibility for upholding the economic and social right within their limits of available resources calls on dialogue promotion and dialogue ",Unilateral measure,,414
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,Armenia,,"economic social and cultural rights as well as labor and technology that they are instances and impact, any measures should be grounded on charter in international law multilateralism UCM can effect third countries our countries is one of them sensitive to disruptions in trade trade financial transactions  and supply chains affecting vulnerable groups undermining sdgs; maintain humanitarian exemptions ; ",Unilateral measure,,415
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,Algeria,,Grateful for the report share comments on impact economics labor and social rights on vulnerable groups refugees; contrary to un charter go against interference weaken economies spread poverties undermine sdg call to be lifted ; particularly goods traffic health provision ; urge to continue work on supplychain,Unilateral measure,,416
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,Irak,,"grateful for report highlights we ve taken notes in particular in sphere of  rtd labor right and social security these undermine trade investment and increase inflation health education food ; damage for third states, persue peacful avenue in line to international law, have data from official sources undertake more precise relation and more objective conclusions",Unilateral measure,,417
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,China,,"Undermine international economic trade threaten food, jeopardize right to life and development ; more effort made in this field  ,  end to UCMs and accountability; defend sovereign equality and respect, lobby for human approach to build an international system more appropriate for all ",Unilateral measure,,418
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,Libya,,"Share the cumulative impacts on the economy and economy and social rights undermine combats against poverty access to health and dignified life UCM prevent targeted states from ensuring HR and SDGS , all measure of this kind should be coherent with international law and must not bring pressure ",Unilateral measure,,419
"September 12, 2025",HRC 60,Interactive Dialogue- Unilateral Coercive Measures,,,"Impacts cannot be denied any longer, agree with EU not all unilateral means of pressure constitute UCMs but the only measure that are allowed according to international law shall not violate any international obligations by the states all they can be taken is counter measures and in accordance with HR therefore 98 99 percent constitutes UCMs and are illegal, principle of sovereign equality and non intervention sates are not free to decide how to behave if the UN security council is ineffective ref. EU, it cannot be used to justifies : states are entitled to take measures that are legal under international law authorized by the security council, according to the principle of equality of law there is no state that can decide if another one is a bad one or doesn't deserve to take is own decisions ; Access of justice are not protected (2024 ) even access to the court and access to international arbitration is limited as lawyers are scared to represent cases has this decisions have been prohibited to be enforced at the national levels in the eu  and recently not only to judicial decisions but to international arbitrations,  has for the initiative the first is monitoring tool , attention to the impact at the un ilo who un treaty bodies and many other ; the only solution is if we bring back the rule of law at the table of settlement of international disputes and settlement of disagreements between states finalize the work to the development of commentary to the guiding princples of Business and HR",Unilateral measure,,420
"September 19, 2025",HRC 60,General Debate- Item 3,Indonesia,APG,Palestinian People,Palestinian People,,347
"September 19, 2025",HRC 60,General Debate- Item 3,Uganda,AFG,Right to development;  Provide equal treatment for the ICCPR ; prioritize the right to development support the resolution of the extend the mandate for the sr ;  ohchr should not interfer into internal affairs,"ICCPR, RTD, Sovereignty, UN System",,427
"September 19, 2025",HRC 60,General Debate- Item 3,Uruguay,GRULAC,right of the child ratified and optional protocol,CRC,,428
"September 19, 2025",HRC 60,General Debate- Item 3,Senegal,AFG, global promotion ,Promotion,,429
"September 19, 2025",HRC 60,General Debate- Item 3,"EU, Lithuania, Lublin Triangle","EEG, WOEG",Right of the child ,"CRC, Ukrainian Children",,430
